individual name,age in years or age-sex category,forearm length (cm),actual gap crossed (AGC) (m),crossing behaviour,takeoff support
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,liana
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",1,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",1,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,liana
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,APP,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,APP,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",1,R,liana
Mawas,1,"12,77",1,APP,liana
Mawas,1,"12,77",0,APP,trunk
Mawas,1,"12,77",0,NCU,liana
Mawas,1,"12,77",0,NCU,liana
Mawas,1,"12,77",0,NCU,liana
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,liana
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,APP,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,APP,branch
Mawas,1,"12,77",0,R,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,APP,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",1,R,trunk
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,APP,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,APP,branch
Mawas,1,"12,77",0,APP,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,NCU,branch
Mawas,1,"12,77",0,S,trunk
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,APP,branch
Kino,3,"17,36",0,R+APP,liana
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,APP,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,APP,branch
Kino,3,"17,36",1,APP,trunk
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",1,R,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,R,branch
Kino,3,"17,36",1,R+APP,trunk
Kino,3,"17,36",1,R+APP,trunk
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",1,S+APP,trunk
Kino,3,"17,36",1,S+APP,trunk
Kino,3,"17,36",0,APP,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,R,branch
Kino,3,"17,36",1,R,branch
Kino,3,"17,36",1,R+APP,trunk
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,R,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,APP,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,R,branch
Kino,3,"17,36",0,R,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",1,APP,branch
Kino,3,"17,36",1,R,liana
Kino,3,"17,36",1,R,trunk
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",0,APP,branch
Kino,3,"17,36",0,NCU,branch
Kino,3,"17,36",1,R,liana
Kino,3,"17,36",1,R,liana
Kino,3,"17,36",0,R,branch
Kino,3,"17,36",1,R,branch
Kino,3,"17,36",1,R+APP,trunk
Kino,3,"17,36",0,APP,branch
